Time,Accel
2.63,7.845538E-05
2.635,4.215810E-05
2.64,3.218967E-05
2.645,8.865292E-05
2.65,1.252387E-04
2.655,1.242146E-04
2.66,8.223155E-05
2.665,4.429144E-06
2.67,1.735317E-08
2.675,8.848548E-05
2.68,1.164950E-04
2.685,5.049978E-05
2.69,-7.659739E-06
2.695,-2.267340E-05
2.7,-3.342379E-07
2.705,3.336541E-05
2.71,5.854791E-05
2.715,5.395145E-05
2.72,5.868843E-05
2.725,7.961691E-05
2.73,7.915184E-05
2.735,4.091271E-05
2.74,1.963284E-05
2.745,4.516512E-05
2.75,4.789843E-05
2.755,3.037310E-05
2.76,5.107550E-05
2.765,8.426018E-05
2.77,8.092961E-05
2.775,3.813317E-05
2.78,1.702322E-05
2.785,5.290525E-05
2.79,7.234709E-05
2.795,6.179819E-06
2.8,-4.028405E-05
2.805,1.417253E-05
2.81,6.327775E-05
2.815,6.343852E-05
2.82,3.462040E-05
2.825,1.296453E-05
2.83,1.430133E-05
2.835,1.960805E-05
2.84,2.891994E-05
2.845,5.000397E-05
2.85,5.263407E-05
2.855,5.086421E-05
2.86,4.500726E-05
2.865,5.817916E-05
2.87,7.159744E-05
2.875,4.386785E-05
2.88,1.978858E-05
2.885,4.962542E-05
2.89,8.529466E-05
2.895,8.744011E-05
2.9,7.528829E-05
2.905,7.418207E-05
2.91,6.857493E-05
2.915,4.621295E-05
2.92,4.144794E-05
2.925,4.346273E-05
2.93,5.693174E-05
2.935,8.506017E-05
2.94,1.127849E-04
2.945,9.434483E-05
2.95,2.395583E-05
2.955,-2.415558E-05
2.96,2.106673E-05
2.965,8.592270E-05
2.97,7.445400E-05
2.975,7.445912E-06
2.98,1.509447E-05
2.985,6.679159E-05
2.99,4.299925E-05
2.995,-1.493067E-05
3,6.533684E-06
3.005,4.025644E-05
3.01,2.599566E-05
3.015,1.470895E-05
3.02,4.867631E-05
3.025,7.431688E-05
3.03,4.160707E-05
3.035,1.306091E-05
3.04,4.367623E-05
3.045,8.210538E-05
3.05,7.509099E-05
3.055,3.085187E-05
3.06,2.058553E-06
3.065,1.473184E-05
3.07,5.528814E-05
3.075,8.941378E-05
3.08,1.102131E-04
3.085,8.816152E-05
3.09,2.136012E-05
3.095,-3.485612E-05
3.1,-1.319922E-05
3.105,4.756267E-05
3.11,4.768571E-05
3.115,1.886659E-05
3.12,3.225598E-05
3.125,2.817929E-05
3.13,-1.655179E-05
3.135,-2.241010E-05
3.14,9.395667E-06
3.145,2.105392E-05
3.15,3.014627E-05
3.155,8.023626E-05
3.16,1.119092E-04
3.165,1.039122E-04
3.17,4.768685E-05
3.175,9.450503E-06
3.18,3.056372E-05
3.185,5.524462E-05
3.19,7.912796E-05
3.195,5.333250E-05
3.2,1.595495E-05
3.205,2.090149E-05
3.21,-5.321436E-06
3.215,-4.444727E-05
3.22,-2.393763E-05
3.225,1.481974E-05
3.23,2.950740E-05
3.235,4.186225E-05
3.24,3.205495E-05
3.245,1.858794E-05
3.25,3.631219E-05
3.255,3.546243E-05
3.26,2.049694E-05
3.265,4.271151E-05
3.27,7.522650E-05
3.275,7.086686E-05
3.28,3.656462E-05
3.285,4.065505E-05
3.29,6.083975E-05
3.295,4.652139E-05
3.3,3.546975E-05
3.305,2.571714E-05
3.31,1.231004E-06
3.315,-2.810904E-05
3.32,-1.854783E-05
3.325,1.004182E-05
3.33,2.490229E-05
3.335,5.051404E-05
3.34,5.602731E-05
3.345,1.071857E-05
3.35,1.624769E-05
3.355,6.668593E-05
3.36,8.498923E-05
3.365,6.353180E-05
3.37,1.461946E-05
3.375,-3.208383E-05
3.38,-2.199674E-05
3.385,1.781012E-06
3.39,-1.370205E-05
3.395,-2.612255E-05
3.4,-1.906669E-05
3.405,3.099211E-05
3.41,6.988583E-05
